Jurisdicción,Año 2010,Año 2015,Año 2020
República Argentina,40117096,43131966,45376763
Ciudad Autónoma de Buenos Aires,2890151,3054267,3075646
Buenos Aires,15625084,16659931,17541141
Catamarca,367828,396895,415438
Chaco,1055259,1143201,1204541
Chubut,509108,566922,618994
Córdoba,3308876,3567654,3760450
Corrientes,992595,1070283,1120801
Entre Ríos,1235994,1321415,1385961
Formosa,530162,579250,605193
Jujuy,673307,727780,770881
La Pampa,318951,343056,358428
La Rioja,333642,367728,393531
Mendoza,1738929,1885551,1990338
Misiones,1101593,1189446,1261294
Neuquén,551266,619745,664057
Río Negro,638645,698874,747610
Salta,1214441,1333365,1424397
San Juan,681055,738959,781217
San Luis,432310,476351,508328
Santa Cruz,273964,320469,365698
Santa Fe,3194537,3397532,3536418
Santiago del Estero,874006,928097,978313
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",127205,152317,173432
Tucumán,1448188,1592878,1694656
